Timestamp,ชื่อโปรเจค,ชั้นปี,ประเภทผลงาน,รายละเอียด,รหัสนักศึกษาผู้จัดทำ,สไลด์นำเสนอ
7/23/2026 23:26:01,ระบบ POS สำหรับร้านขายของชำ แบบครบวงจร,3,กลุ่ม,"เครื่อง point-of-sale ต้นทุนเหมาะสม ช่วยคิดเงิน บันทึกยอดขาย และจัดการ
สินค้าลงคลังได้อย่างแม่นยำ และรวดเร็ว","67200380
67200324
67200258
67200030",file:///C:/Users/Asus/Downloads/pos_presentation_final.pdf
7/23/2026 23:29:13,Security Door Lock  ระบบควบคุมการเข้า  -ออก,3,กลุ่ม,พัฒนาระบบควบคุมการเข้า-ออกประตูด้วยบัตร RFID ร่วมกับกล้องตรวจจับและระบบแจ้งเตือนแบบเรียลไทม์ จะสามารถเพิ่มความปลอดภัยในการเข้า-ออกสถานที่ ลดปัญหาการเข้าใช้งานโดยไม่ได้รับอนุญาต และมีหลักฐานภาพประกอบการตรวจสอบย้อนหลังได้ดีกว่าระบบกุญแจแบบเดิม,"67200030
67200305
67200368
67200369",file:///C:/Users/Asus/Downloads/Security_Door_Lock.pdf
7/23/2026 23:31:33,H.I.V.E. ( Hardware Integrated Vulnerable Environment ),3,กลุ่ม,"พื่อออกแบบและพัฒนาระบบ Honeypot 
ที่สามารถจำลองและดักจับการโจมตีทางไซเบอร์ผ่านช่องโหว่ระดับวิกฤตในโลกจริงได้ และ เพื่อพัฒนาระบบศูนย์ปฏิบัติการ 
(SOC Dashboard) บน Cloud ที่สามารถแสดงผลและแจ้งเตือนสถานะความปลอดภัยได้แบบ Real Time","67200032
67200099 
67200102
67200412",https://www.canva.com/design/DAHOlyFhW8I/L9Z5JAUNvcGckgCQILpidA/edit